DATE,SEASON,AVY_DANGER,AVY_CHARACTER,WET_DANGER,DRY_DANGER,WET_LOOSE,WET_SLAB,WIND_SLAB,STORM_SLAB,CORNICE_FALL,PERSISTENT_SLAB,DEEP_SLAB,DRY_LOOSE,GLIDE_AVALANCHE,LONG_SLIDING_FALL,AWND,PGTM,PRCP,PRCP_ATTRIBUTES,PSUN,SNOW,FIVE_DAY_SNOWFALL,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_SWING,TMAX_SWING_FROM_AVE,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,SKY CONDITION,PRECIP TYPE/RATE,FORM/SIZE,HN24_CM,HW in Tube (MM),H24W in Can (MM),DENSITY (KG/M3),HST (CM),HS_CM,SETTLEMENT/MELT,Surf Temp (C),T-10 (C),T-20 (C),CURRENT TEMP,X24_HR_MAX,24HRMAX_SWING,24 HR MIN
12/18/10,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,10.74,748,0,"T,,0,2400",30,0.2,,",,0,",14,",,0,",12,,,",,0",4,",,0",165,",,X",320,",,X",25.9,",,X",SCT,S-1,"SD1, PL.5",,,0.2,,,40,1,-6.9,-5,-3.7,-9,-9,,-14
12/19/10,2010/2011,1,DRY,0,1,0,0,1,0,0,1,0,0,0,N,9.4,307,0,"T,,0,2400",98,0.1,,",,0,",14,",,0,",15,3,,",,0",3,",,0",531,",,X",180,",,X",19,",,X",CLR,,,2,1,0.1,50,3.5,42,0,-8.3,-4.8,-3.2,-14,-6,3,-14
12/20/10,2010/2011,1,DRY,0,1,0,0,1,0,0,1,0,0,0,N,20.58,1549,0.14,",,0,2400",0,2.2,,",,0,",14,",,0,",15,0,,",,0",5,",,0",0,",,X",360,",,X",49,",,X",OVC,,,,,,,,40,2,-10.3,-6.2,-4.6,-13,-7,-1,-13
12/21/10,2010/2011,3,DRY,0,3,0,0,3,0,0,3,0,0,0,N,35.12,1308,0.15,",,0,2400",0,2,,",,0,",15,",,0,",18,3,,",,0",10,",,0",0,",,X",360,",,X",62,",,X",X,S1,"SD1, PL1, GP1",3.8,3,2.5,79,,43,0,-4.4,-4.2,-2.9,-5,-5,2,-14
12/22/10,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,33.78,2114,0.47,",,0,2400",0,4.1,8.6,",,0,",16,",,0,",15,-3,,",,0",7,",,0",0,",,X",360,",,X",55,",,X",OVC,S1,RSD.5-2,2.2,3,,73,,45,0,-5.3,-2.4,-1.7,-7,-4,1,-7
12/23/10,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,31.32,1701,0.29,",,0,2400",0,2.7,11.1,",,0,",20,",,0,",15,0,0,",,0",6,",,0",0,",,X",360,",,X",53.9,",,X",OVC,S1,"SD2, RCL1.5, RST2",10,10.3,,103,,55,0,-6.7,-2.9,-2,-7,-5,-1,-8
12/24/10,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,32.44,1629,0,",,0,2400",100,0,11,",,0,",20,",,0,",17,2,1.4,",,0",9,",,0",543,",,X",360,",,X",55,",,X",CLR,,,,,,,11.5,54,1,-6.8,-3.6,-2.4,-5,-4,1,-9
12/25/10,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,12.08,104,0,",,0,2400",70,0,8.8,",,0,",19,",,0,",22,5,6,",,0",12,",,0",382,",,X",360,",,X",40,",,X",CLR,,,,,,,,54,0,-6.8,-3.6,-2.4,-5,-2,2,-8
12/26/10,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,22.37,2252,0.17,",,0,2400",6,1,7.8,",,0,",19,",,0,",18,-4,0.6,",,0",5,",,0",30,",,X",50,",,X",81,",,X",SCT,,,,,,,,54,1,-9.2,-7.4,-3.9,-13,-3,-1,-14.5
12/27/10,2010/2011,4,DRY,0,4,0,0,4,4,0,0,0,0,0,N,50.11,432,1.02,",,0,2400",0,7.8,11.5,",,0,",20,",,0,",7,-11,-10.4,",,0",-14,",,0",0,",,X",50,",,X",78.1,",,X",X,S3,"SD1-2, ST6",39,31,,81,,90,3,-10,-10,-8.9,-11,-6,-3,-13
