date,temp_max,temp_min,water_equivalent,water_equivalent_trace,snow_fall,snow_fall_trace,snow_depth_6am,snow_depth_6am_trace,wind_speed_sum,sunshine_sum,sunshine_percent,skycover_sum,skycover_avg_sunrisetosunset,prevailing_wind,west_wind_hours,northwest_wind_hours
1/2/35,10,-21,0.63,0,2.2,0,0,0,2171,0,0,0,0,NW,7,9
1/1/35,12,2,2.03,0,11.7,0,0,0,1780,0,0,0,0,S,0,6
1/3/35,15,-8,0.23,0,1.1,0,0,0,1627,0,0,0,0,WNW,0,0
1/4/35,15,-35,0,1,0,1,0,0,2231,0,0,0,0,NW,1,21
1/5/35,21,-15,0,0,0,0,0,0,1310,0,0,0,0,WSW,0,1
1/6/35,29,19,0,1,0,0,0,0,1465,0,0,0,0,WSW,0,0
1/7/35,32,28,0,0,0,0,0,0,1233,0,0,0,0,WSW,0,0
1/8/35,33,32,0,1,0,0,0,0,817,0,0,0,0,WSW,0,0
1/9/35,34,32,1.48,0,0,0,0,0,778,0,0,0,0,SW,0,0
1/10/35,33,22,0.68,0,0,0,0,0,1138,0,0,0,0,W,11,0
1/11/35,23,-2,0.15,0,1.3,0,0,0,1699,0,0,0,0,W,12,7
1/12/35,1,-21,0,0,0,0,0,0,2166,0,0,0,0,W,8,7
1/13/35,10,-13,0.07,0,0.6,0,0,0,1027,0,0,0,0,NW,0,15
1/14/35,3,-17,0.62,0,5.8,0,0,0,1318,0,0,0,0,NW,1,10
1/15/35,-11,-23,0.05,0,0.1,0,0,0,1806,0,0,0,0,NW,0,24
1/16/35,-1,-13,0,0,0,0,0,0,1041,0,0,0,0,NW,0,24
1/17/35,6,-6,1,0,9.4,0,0,0,1282,0,0,0,0,SE,0,4
1/18/35,6,-20,0.52,0,6,0,0,0,1635,0,0,0,0,NW,9,12
1/19/35,16,-21,0,0,0,0,0,0,656,0,0,0,0,N,2,3
1/20/35,22,5,0.28,0,1.5,0,0,0,1610,0,0,0,0,SW,4,0
1/21/35,30,20,0.42,0,1,0,0,0,1103,0,0,0,0,W,11,0
1/22/35,28,-8,0.26,0,0.3,0,0,0,1954,0,0,0,0,NW,6,17
1/23/35,8,-12,0.11,0,0.9,0,0,0,735,0,0,0,0,W,13,0
1/24/35,7,-23,0.55,0,3.2,0,0,0,1409,0,0,0,0,NW,0,15
1/25/35,-2,-23,0,0,0,0,0,0,1599,0,0,0,0,NW,0,17
1/26/35,-1,-20,0.23,0,1.3,0,0,0,1628,0,0,0,0,W,17,0
1/27/35,-16,-22,0,0,0,0,0,0,1466,0,0,0,0,NW,6,18
1/28/35,-2,-22,0.04,0,0.9,0,0,0,1482,0,0,0,0,NW,3,9
1/29/35,0,-15,0.23,0,1.1,0,0,0,1523,0,0,0,0,NW,4,12
1/30/35,-13,-21,0.13,0,0.7,0,0,0,1732,0,0,0,0,NW,0,24
1/31/35,0,-17,0,0,0,0,0,0,464,0,0,0,0,N,0,7
2/1/35,7,-1,0,0,0,0,0,0,1032,0,0,0,0,N,8,0
2/2/35,23,2,0,0,0,0,0,0,1236,0,0,0,0,NW,3,17
2/3/35,21,14,0,1,0,1,0,0,965,0,0,0,0,W,24,0
2/4/35,15,-3,0.13,0,0.5,0,0,0,618,0,0,0,0,W,14,10
2/5/35,-3,-14,0,0,0,0,0,0,577,0,0,0,0,NW,0,22
2/6/35,-6,-15,0,0,0,0,0,0,1075,0,0,0,0,NW,0,15
2/7/35,3,-14,0,0,0,0,0,0,1604,0,0,0,0,NW,5,12
2/8/35,12,0,0,1,0,1,0,0,684,0,0,0,0,W,18,0
2/9/35,17,6,0.23,0,1,0,0,0,1116,0,0,0,0,SW,4,3
2/10/35,10,1,0,0,0,0,0,0,602,0,0,0,0,W,16,0
2/11/35,3,-18,0.07,0,0.4,0,0,0,1573,0,0,0,0,W,18,6
2/12/35,5,-16,0,0,0,0,0,0,1354,0,0,0,0,NW,10,13
2/13/35,16,-2,0,1,0,1,0,0,581,0,0,0,0,NW,0,24
2/14/35,26,14,0.14,0,0.4,0,0,0,945,0,0,0,0,SW,0,6
2/15/35,28,22,1.15,0,3.8,0,0,0,1476,0,0,0,0,NW,3,11
2/16/35,25,9,0.19,0,0.1,0,0,0,813,0,0,0,0,NW,1,13
2/17/35,15,7,0.23,0,1.6,0,0,0,930,0,0,0,0,SW,3,0
2/18/35,13,-3,0.32,0,2.3,0,0,0,1431,0,0,0,0,W,10,8
2/19/35,14,-8,0.34,0,1.8,0,0,0,1394,0,0,0,0,W,8,7
2/20/35,3,-9,0.26,0,2,0,0,0,1215,0,0,0,0,WSW,7,5
2/21/35,0,-16,0.09,0,0.3,0,0,0,1619,0,0,0,0,NW,0,13
2/22/35,3,-18,0.27,0,2.5,0,0,0,1403,0,0,0,0,NW,0,24
2/23/35,17,0,0.8,0,5.3,0,0,0,1056,0,0,0,0,SE,2,3
